acq_entity,local_sku,bezeichnung,kategori,anvandning,vardorganism,reaktivitet,storlek,pris_local,currency,supplier_ref,active_flag,free_text_spec,erp_system,source_country
NordBio Denmark,ND-66456,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-52658,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Denmark,ND-47261,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-67538,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-38302,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-27511,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Denmark,ND-70823,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-39820,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-45817,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Denmark,ND-21698,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Denmark,ND-64633,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-68354,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-22239,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-68829,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-17095,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-91235,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-19410,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-61098,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-13867,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-72123,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-55391,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-86091,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-40273,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-50480,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-57751,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-75845,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-83164,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-69197,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Denmark,ND-59356,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-93367,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-44162,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-36857,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-32229,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-20487,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-93378,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-39664,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-84788,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-46324,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-58197,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Denmark,ND-43718,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-86471,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-22402,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-75927,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-23707,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-97609,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-61469,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-72017,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-67112,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-41352,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-28304,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-94460,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-70410,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-48968,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-22941,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-78667,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-80805,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-85274,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-34983,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-29906,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Denmark,ND-55470,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-23527,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-29894,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-62051,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-56516,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-35426,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-87873,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-64865,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-58717,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-85537,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-61666,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-55079,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-14552,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-17344,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-37044,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Denmark,ND-69512,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-43847,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-49924,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Denmark,ND-23278,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-97400,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-29092,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-31679,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-51832,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-74366,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-14677,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-37384,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-93213,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-24190,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Denmark,ND-63034,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-76442,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-24534,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-25738,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-15205,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-21468,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Denmark,ND-38812,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-11099,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-38342,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-32069,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-83169,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Denmark,ND-58653,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-82355,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-48190,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Denmark,ND-50597,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Denmark,ND-93903,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-85651,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Sweden,NB-33584,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Sweden,NB-53689,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Denmark,ND-59638,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-87996,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-83633,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Denmark,ND-50624,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-80954,IL6 ELISA-kit,ELISA,ELISA,,Human,96 brunnar,565.00,SEK,NAIL696,1,Serum och plasma,JeevesERP,SE
NordBio Denmark,ND-50056,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-73217,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-92900,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Sweden,NB-45120,CD3 antikropp FITC,Antikroppar,Flodescytometri,Mus,Manniska,100 ul,345.00,SEK,IP-CD3-FITC-100,1,UCHT1 clone,JeevesERP,SE
NordBio Sweden,NB-55620,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-10818,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-33249,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Denmark,ND-50735,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-87996,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-95170,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-86818,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-51725,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-26120,CD20 antikropp PE,Antikroppar,Flodescytometri,Mus,Human,100 uL,425.00,SEK,BA-100246,1,PE conjugated clone 2H7,JeevesERP,SE
NordBio Sweden,NB-94593,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-91231,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
NordBio Denmark,ND-50580,BCA protein assay kit,Proteinanalyse,Protein kvantificering,,,500 test,1295.00,DKK,BG-BCA-500,1,Colorimetric assay kit,Navision,DK
NordBio Sweden,NB-92231,CD20 antikropp FITC,Antikroppar,Flodescytometri,Mus,Human,0.1 mL,410.00,SEK,BA100245,1,Clone 2H7 for human FC,JeevesERP,SE
NordBio Sweden,NB-99497,HeLa celllysat,Cellbiologi,WB,,Human,100 ug,135.00,SEK,CN-HELA-LYSATE,1,Legacy stock from prior supplier,JeevesERP,SE
NordBio Denmark,ND-73143,GAPDH antistof,Antistoffer,Western blot,Kanin,"Human, mus",100 uL,155.00,DKK,LV-GAPDH-RB-100,1,"Polyclonal, cell lysate validated",Navision,DK
NordBio Sweden,NB-78604,TNF alfa ELISA kit,ELISA,ELISA,,Human,96 brunnar,535.00,SEK,NA-TNF-96,1,For serum/plasma use,JeevesERP,SE
