supplier_name,supplier_sku,supplier_product_name,target,host_species,reactivity,application,clone,conjugate,size,size_unit,price_usd,currency,availability_status,lead_time_days,datasheet_id,ruo_flag,description
ImmunoPeak,IP-86707,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,276.35,USD,Low Stock,9,GEN-50812,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-99295,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,520.81,USD,Backorder,21,GEN-13673,N,Diagnostic use labeling under evaluation
ImmunoPeak,IP-80830,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,278.94,USD,In Stock,4,GEN-92901,Y,Flow cytometry reagent for whole blood
CytoNova,CN-30581,HeLa Cell Lysate,,,Human,WB,,,100,ug,126.99,USD,Discontinued,0,GEN-26975,Y,Whole cell lysate from HeLa line
ImmunoPeak,IP-43010,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,270.58,USD,In Stock,4,GEN-34686,Y,Flow cytometry reagent for whole blood
ImmunoPeak,IP-33949,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,361.53,USD,In Stock,4,GEN-34672,Y,Flow cytometry reagent for whole blood
BioAxis,BA-92454,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,375.64,USD,In Stock,6,GEN-11353,Y,PE conjugated variant for human samples
BioAxis,BA-75540,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,756.04,USD,In Stock,2,GEN-95787,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,BA-42803,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,467.69,USD,In Stock,5,GEN-13887,Y,Validated for flow cytometry on human PBMC samples
ImmunoPeak,IP-75507,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,285.06,USD,In Stock,4,GEN-22139,Y,Flow cytometry reagent for whole blood
CytoNova,CN-98477,HeLa Cell Lysate,,,Human,WB,,,100,ug,107.45,USD,Discontinued,0,GEN-28899,Y,Whole cell lysate from HeLa line
ImmunoPeak,IP-85447,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,261.37,USD,Low Stock,9,GEN-37401,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-70933,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,305.60,USD,Low Stock,9,GEN-58141,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-34487,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,276.52,USD,Low Stock,9,GEN-87471,Y,Unconjugated format for secondary antibody workflows
LabVeritas,LV-26285,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,200.43,USD,In Stock,3,GEN-33385,Y,Validated in western blot. Suitable for cell lysates.
CytoNova,CN-54200,HeLa Cell Lysate,,,Human,WB,,,100,ug,131.62,USD,Discontinued,0,GEN-13957,Y,Whole cell lysate from HeLa line
CytoNova,CN-40256,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,150.92,USD,In Stock,8,GEN-14854,Y,Carrier free recombinant human IL-2
CytoNova,CN-67652,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,627.36,USD,Backorder,21,GEN-29263,N,Diagnostic use labeling under evaluation
BioAxis,BA-81730,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,373.34,USD,In Stock,6,GEN-59709,Y,PE conjugated variant for human samples
BioAxis,BA-97222,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,703.63,USD,In Stock,2,GEN-69491,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,GEN-45715,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1954.61,USD,In Stock,7,GEN-84041,Y,"Same clone, larger pack size"
ImmunoPeak,IP-78873,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,294.61,USD,Low Stock,9,GEN-63708,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-96198,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,554.33,USD,In Stock,12,GEN-46296,Y,Sandwich ELISA for serum and plasma
BioAxis,BA-93558,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,557.16,USD,In Stock,6,GEN-42803,Y,PE conjugated variant for human samples
BioAxis,BA-52912,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,363.99,USD,In Stock,5,GEN-12854,Y,Validated for flow cytometry on human PBMC samples
BioAxis,BA-15095,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,813.29,USD,In Stock,2,GEN-64325,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,BA-74299,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,755.72,USD,In Stock,2,GEN-20284,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,BA-21312,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,827.79,USD,In Stock,2,GEN-25846,Y,"Healthy donor PBMC, cryopreserved"
LabVeritas,LV-33195,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,159.05,USD,In Stock,5,GEN-25137,Y,Colorimetric protein quantification kit
CytoNova,CN-38603,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,165.54,USD,In Stock,8,GEN-78495,Y,Carrier free recombinant human IL-2
ImmunoPeak,IP-86746,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,284.92,USD,Low Stock,9,GEN-14157,Y,Unconjugated format for secondary antibody workflows
LabVeritas,LV-97145,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,201.67,USD,In Stock,3,GEN-28632,Y,Validated in western blot. Suitable for cell lysates.
LabVeritas,LV-56838,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,170.01,USD,In Stock,5,GEN-26027,Y,Colorimetric protein quantification kit
BioAxis,BA-53082,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,387.98,USD,In Stock,5,GEN-71900,Y,Validated for flow cytometry on human PBMC samples
CytoNova,CN-31293,HeLa Cell Lysate,,,Human,WB,,,100,ug,129.51,USD,Discontinued,0,GEN-42342,Y,Whole cell lysate from HeLa line
BioAxis,BA-20757,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,465.77,USD,In Stock,5,GEN-38108,Y,Validated for flow cytometry on human PBMC samples
ImmunoPeak,IP-36889,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,273.59,USD,Low Stock,9,GEN-83375,Y,Unconjugated format for secondary antibody workflows
LabVeritas,LV-93852,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,177.27,USD,In Stock,3,GEN-85795,Y,Validated in western blot. Suitable for cell lysates.
ImmunoPeak,IP-15439,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,364.58,USD,In Stock,4,GEN-63030,Y,Flow cytometry reagent for whole blood
LabVeritas,LV-36859,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,212.67,USD,In Stock,5,GEN-52541,Y,Colorimetric protein quantification kit
ImmunoPeak,IP-69535,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,274.87,USD,Low Stock,9,GEN-38651,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-19779,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,264.08,USD,Low Stock,9,GEN-26963,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-26027,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,133.92,USD,In Stock,8,GEN-26374,Y,Carrier free recombinant human IL-2
LabVeritas,LV-22660,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,189.79,USD,In Stock,5,GEN-44466,Y,Colorimetric protein quantification kit
CytoNova,CN-69280,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,134.04,USD,In Stock,8,GEN-89561,Y,Carrier free recombinant human IL-2
CytoNova,CN-58584,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,523.48,USD,In Stock,12,GEN-54324,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-67070,HeLa Cell Lysate,,,Human,WB,,,100,ug,104.92,USD,Discontinued,0,GEN-35248,Y,Whole cell lysate from HeLa line
ImmunoPeak,IP-61445,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,350.00,USD,In Stock,4,GEN-80780,Y,Flow cytometry reagent for whole blood
CytoNova,CN-73072,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,646.27,USD,Backorder,21,GEN-62645,N,Diagnostic use labeling under evaluation
ImmunoPeak,IP-12555,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,273.02,USD,In Stock,4,GEN-90360,Y,Flow cytometry reagent for whole blood
CytoNova,CN-35065,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,481.40,USD,Backorder,21,GEN-52099,N,Diagnostic use labeling under evaluation
CytoNova,CN-22886,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,547.62,USD,In Stock,12,GEN-30946,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-16591,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,638.53,USD,Backorder,21,GEN-46599,N,Diagnostic use labeling under evaluation
CytoNova,CN-60401,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,447.18,USD,Backorder,21,GEN-64628,N,Diagnostic use labeling under evaluation
BioAxis,BA-75890,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,397.31,USD,In Stock,6,GEN-22833,Y,PE conjugated variant for human samples
LabVeritas,LV-26692,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,222.02,USD,In Stock,5,GEN-78272,Y,Colorimetric protein quantification kit
CytoNova,CN-16328,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,122.66,USD,In Stock,8,GEN-11035,Y,Carrier free recombinant human IL-2
BioAxis,BA-41083,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,374.80,USD,In Stock,6,GEN-14207,Y,PE conjugated variant for human samples
LabVeritas,LV-18442,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,215.38,USD,In Stock,5,GEN-33099,Y,Colorimetric protein quantification kit
CytoNova,CN-68252,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,427.53,USD,In Stock,12,GEN-95594,Y,Sandwich ELISA for serum and plasma
ImmunoPeak,IP-48249,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,294.41,USD,Low Stock,9,GEN-54520,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-70440,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,232.93,USD,Low Stock,9,GEN-90059,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-44100,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,479.02,USD,In Stock,12,GEN-88250,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-91165,HeLa Cell Lysate,,,Human,WB,,,100,ug,147.97,USD,Discontinued,0,GEN-33979,Y,Whole cell lysate from HeLa line
BioAxis,GEN-82381,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,2035.29,USD,In Stock,7,GEN-17574,Y,"Same clone, larger pack size"
BioAxis,BA-23334,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,610.74,USD,In Stock,2,GEN-83805,Y,"Healthy donor PBMC, cryopreserved"
CytoNova,CN-61510,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,532.70,USD,In Stock,12,GEN-71107,Y,Sandwich ELISA for serum and plasma
LabVeritas,LV-13568,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,163.49,USD,In Stock,5,GEN-62634,Y,Colorimetric protein quantification kit
ImmunoPeak,IP-44442,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,247.87,USD,Low Stock,9,GEN-34128,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-10492,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,359.22,USD,In Stock,4,GEN-47608,Y,Flow cytometry reagent for whole blood
