vendor,product_code,product_title_local,product_title_english,anwendung,spezies,zielprotein,packung,preis_eur,waehrung,lagerstatus,beschreibung,ce_ivd,research_only,country_market
EuroLab,EL-67712,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-39302,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-82479,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-44106,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-88642,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-34202,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-72623,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-89285,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-58373,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-95816,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-82255,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-57711,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-37726,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-11117,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-35458,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-71452,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-92739,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-10939,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-97776,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-76096,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-91339,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-30777,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-31844,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-49728,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-86574,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-94749,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-94606,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-57537,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-57983,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-15060,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-51479,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-26962,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-65175,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-93162,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-92093,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-73263,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-85879,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-11440,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-85334,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-35304,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-42777,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-61126,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-88115,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-70297,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-20384,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-49453,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-29546,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-54856,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-76519,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-77684,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-83818,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-32791,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-18450,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-91798,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-31523,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-43790,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-21485,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-43904,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-63151,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
