search_date,country,raw_query,clicked_product_id,clicked_supplier_sku,search_result_count,zero_result_flag,session_id,customer_segment
2026-02-05,DE,hela lysate wb control,EB-11580,EL-72895,1,0,GEN-23201,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-53134,CN-79278,2,0,GEN-99240,Hospital
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-87986,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-93365,NB-20396,1,0,GEN-42161,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-82318,EL-18809,2,0,GEN-32198,Hospital
2026-02-05,DE,hela lysate wb control,EB-96029,EL-80238,1,0,GEN-21029,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-64869,NB-18819,1,0,GEN-33313,Academic
2026-02-05,DE,hela lysate wb control,EB-25105,EL-86824,1,0,GEN-82679,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-16881,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-53352,CN-35552,2,0,GEN-78687,Hospital
2026-02-05,DE,hela lysate wb control,EB-90689,EL-39677,1,0,GEN-74541,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-69268,EL-56307,2,0,GEN-51807,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-60224,BA-68403,4,0,GEN-57441,Academic
2026-02-05,DE,hela lysate wb control,EB-25436,EL-79126,1,0,GEN-38208,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-90626,BA-39931,4,0,GEN-20394,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-86701,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-60931,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-47601,LV-64041,5,0,GEN-25785,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-11712,NB-23345,1,0,GEN-44773,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-77818,BA-17408,4,0,GEN-71355,Academic
2026-02-05,DE,tnf alpha diagnostic elisa,EB-68012,CN-83226,2,0,GEN-99865,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-99987,NB-28528,1,0,GEN-41310,Academic
2026-02-03,DE,anti cd20 human flow,EB-35297,GEN-90021,3,0,GEN-96063,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-53883,BA-71838,4,0,GEN-19359,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-61288,Biopharma
2026-02-05,DE,hela lysate wb control,EB-13846,EL-42049,1,0,GEN-67549,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-79627,NB-94917,1,0,GEN-69778,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-26100,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-28232,NB-62972,1,0,GEN-62913,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-34461,EL-74117,2,0,GEN-49867,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-79681,EL-53538,2,0,GEN-22401,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-45602,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-64692,EL-52314,2,0,GEN-91755,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-34128,NB-96920,1,0,GEN-10736,Biopharma
2026-02-05,DE,hela lysate wb control,EB-80038,EL-60090,1,0,GEN-39434,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-45686,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-17306,EL-12444,2,0,GEN-72751,Hospital
2026-02-05,DE,hela lysate wb control,EB-99326,EL-18549,1,0,GEN-82996,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-46570,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-81287,LV-39168,5,0,GEN-90752,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-14399,GEN-51193,3,0,GEN-68719,Academic
2026-02-03,DE,anti cd20 human flow,EB-64815,GEN-50245,3,0,GEN-80695,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-51364,NB-40102,1,0,GEN-60599,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-47873,BA-48051,4,0,GEN-22101,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-14731,NB-81415,1,0,GEN-87743,Academic
2026-02-03,DE,anti cd20 human flow,EB-57946,GEN-68991,3,0,GEN-42788,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-50216,EL-61720,2,0,GEN-88649,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-61598,NB-96490,1,0,GEN-32492,Academic
2026-02-05,DE,hela lysate wb control,EB-25685,EL-74918,1,0,GEN-19132,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-76093,LV-73520,5,0,GEN-35835,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-55982,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-98610,LV-30411,5,0,GEN-66847,Biopharma
2026-02-05,DE,hela lysate wb control,EB-69209,EL-94028,1,0,GEN-36816,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-41329,LV-87851,5,0,GEN-30288,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-42123,LV-41869,5,0,GEN-44571,Biopharma
2026-02-05,DE,hela lysate wb control,EB-30714,EL-57988,1,0,GEN-80163,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-27184,LV-86635,5,0,GEN-48931,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-83430,BA-74150,4,0,GEN-65991,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-88449,LV-81899,5,0,GEN-55113,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-86262,NB-56782,1,0,GEN-98606,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-36755,NB-92661,1,0,GEN-65112,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-41417,EL-75788,2,0,GEN-28829,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-96434,NB-73981,1,0,GEN-23539,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-23543,NB-63181,1,0,GEN-75877,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-79235,LV-61965,5,0,GEN-52951,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-99062,NB-50209,1,0,GEN-54262,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-76144,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-53778,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-66635,LV-34421,5,0,GEN-47046,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-65134,NB-73776,1,0,GEN-87224,Biopharma
2026-02-05,DE,hela lysate wb control,EB-34680,EL-41553,1,0,GEN-69009,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-81088,CN-75265,2,0,GEN-94400,Hospital
2026-02-05,DE,tnf alpha diagnostic elisa,EB-40758,CN-54282,2,0,GEN-44705,Hospital
2026-02-05,DE,tnf alpha diagnostic elisa,EB-38106,CN-98455,2,0,GEN-20727,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-71666,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-48210,EL-82092,2,0,GEN-84175,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-93898,NB-95105,1,0,GEN-50882,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-54517,NB-97117,1,0,GEN-76346,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-59099,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-43544,LV-56054,5,0,GEN-25145,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-98935,NB-15554,1,0,GEN-83831,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-34013,BA-94907,4,0,GEN-24307,Academic
2026-02-05,DE,hela lysate wb control,EB-67954,EL-66488,1,0,GEN-89161,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-64962,NB-90246,1,0,GEN-99834,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-53734,NB-70581,1,0,GEN-90618,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-81366,GEN-45544,3,0,GEN-85092,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-92104,BA-17123,4,0,GEN-99765,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-12957,BA-10608,4,0,GEN-59323,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-73226,NB-53396,1,0,GEN-55141,Biopharma
2026-02-05,DE,hela lysate wb control,EB-17744,EL-94569,1,0,GEN-39633,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-54109,GEN-97948,3,0,GEN-50489,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-62299,NB-75506,1,0,GEN-93210,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-15135,EL-79470,2,0,GEN-29668,Hospital
2026-02-08,DE,protein quantification bca kit 500,EB-17146,LV-13708,5,0,GEN-73975,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-42838,CN-97192,2,0,GEN-35065,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-98053,NB-31705,1,0,GEN-59527,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-94173,EL-20504,2,0,GEN-15166,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-45060,BA-48081,4,0,GEN-89159,Academic
2026-02-05,DE,tnf alpha diagnostic elisa,EB-59874,CN-73457,2,0,GEN-88796,Hospital
2026-02-05,DE,tnf alpha diagnostic elisa,EB-35360,CN-96010,2,0,GEN-53831,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-92574,NB-35978,1,0,GEN-42211,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-18383,Academic
2026-02-03,DE,anti cd20 human flow,EB-42240,GEN-49332,3,0,GEN-70398,Academic
2026-02-05,DE,hela lysate wb control,EB-34136,EL-80241,1,0,GEN-30634,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-95259,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-49710,EL-96383,2,0,GEN-37514,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-22497,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-17117,BA-61409,4,0,GEN-34397,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-32965,LV-45932,5,0,GEN-32771,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-72845,NB-97647,1,0,GEN-57711,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-30004,GEN-75195,3,0,GEN-82850,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-19364,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-34053,EL-15357,2,0,GEN-44699,Hospital
2026-02-05,DE,tnf alpha diagnostic elisa,EB-73080,CN-20417,2,0,GEN-16633,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-46753,EL-55079,2,0,GEN-35375,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-43535,BA-90410,4,0,GEN-66902,Academic
2026-02-05,DE,hela lysate wb control,EB-74682,EL-67460,1,0,GEN-80202,Biopharma
2026-02-05,DE,hela lysate wb control,EB-53493,EL-85580,1,0,GEN-70241,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-65735,NB-77398,1,0,GEN-71982,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-19470,GEN-13212,3,0,GEN-95894,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-82579,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-74747,BA-46447,4,0,GEN-24503,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-96932,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-25779,EL-70455,2,0,GEN-94782,Hospital
2026-02-05,DE,hela lysate wb control,EB-98592,EL-59854,1,0,GEN-19002,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-13613,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-27782,CN-65188,2,0,GEN-82480,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-61927,NB-19451,1,0,GEN-33027,Biopharma
2026-02-05,DE,hela lysate wb control,EB-31534,EL-10721,1,0,GEN-35803,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-39852,EL-10534,2,0,GEN-88434,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-18083,NB-29610,1,0,GEN-19412,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-85621,NB-63590,1,0,GEN-86310,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-80595,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-10461,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-56702,EL-71477,2,0,GEN-37413,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-28806,BA-18057,4,0,GEN-40192,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-54594,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-86451,Academic
2026-02-05,DE,hela lysate wb control,EB-42010,EL-46668,1,0,GEN-50567,Biopharma
