supplier_name,supplier_sku,internal_product_id,country,price_local,currency,inventory_status,lead_time_days,min_order_qty,last_feed_timestamp,discontinued_flag
CytoNova,CN-67135,EB-67646,US,463.26,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-73547,EB-73347,US,490.43,USD,Backorder,21,1,2026-02-02T05:00:00,N
ImmunoPeak,IP-79666,EB-47133,DE,278.77,EUR,In Stock,4,1,2026-02-03T05:00:00,N
CytoNova,CN-56398,EB-43185,US,595.01,USD,In Stock,12,1,2026-02-02T05:00:00,N
ImmunoPeak,IP-95524,EB-41132,DE,367.26,EUR,In Stock,4,1,2026-02-03T05:00:00,N
CytoNova,CN-17210,EB-75016,US,521.87,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioGnostics,BG-38725,EB-42968,DE,232.38,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
BioAxis,BA-14104,EB-54466,US,478.51,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-84430,EB-42276,US,505.27,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioAxis,BA-73936,EB-67330,US,510.04,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-20882,EB-59907,DE,403.13,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
EuroLab,EL-49413,EB-77053,DE,353.28,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
CytoNova,CN-36647,EB-80399,DE,126.90,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
LabVeritas,LV-30921,EB-31182,DE,234.82,EUR,In Stock,3,1,2026-02-02T05:00:00,N
EuroLab,EL-62262,EB-94513,DE,393.08,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
NordBio Sweden,NB-35202,EB-42790,SE,432.63,SEK,Available,4,1,2026-02-02T04:00:00,N
BioAxis,BA-38749,EB-61609,US,452.49,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-17215,EB-55449,DE,115.02,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
NordBio Sweden,NB-49717,EB-34691,SE,409.28,SEK,Available,4,1,2026-02-02T04:00:00,N
BioGnostics,BG-26003,EB-86040,DE,187.39,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordBio Sweden,NB-69627,EB-59286,SE,483.80,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-52041,EB-51960,DE,140.44,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
NordBio Sweden,NB-87891,EB-85571,SE,416.13,SEK,Available,4,1,2026-02-02T04:00:00,N
BioGnostics,BG-67126,EB-29158,DE,168.57,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
LabVeritas,LV-21313,EB-35466,DE,190.19,EUR,In Stock,3,1,2026-02-02T05:00:00,N
BioAxis,BA-66200,EB-35229,US,386.37,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-70744,EB-35447,US,493.34,USD,Backorder,21,1,2026-02-02T05:00:00,N
ImmunoPeak,IP-37399,EB-87134,DE,303.29,EUR,In Stock,4,1,2026-02-03T05:00:00,N
BioAxis,BA-71602,EB-99263,DE,444.57,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-78311,EB-42365,DE,199.47,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-92632,EB-88669,DE,102.49,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-65816,EB-36424,US,468.15,USD,Backorder,21,1,2026-02-02T05:00:00,N
CytoNova,CN-59132,EB-44924,US,569.73,USD,Backorder,21,1,2026-02-02T05:00:00,N
CytoNova,CN-30438,EB-78156,DE,98.81,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
EuroLab,EL-71619,EB-20685,DE,383.73,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioAxis,BA-69830,EB-37870,US,458.67,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-53498,EB-14579,DE,455.31,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
CytoNova,CN-24393,EB-89277,US,512.77,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-63258,EB-37367,US,572.93,USD,Backorder,21,1,2026-02-02T05:00:00,N
NordAssay,NA-73418,EB-89047,DE,488.56,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordBio Sweden,NB-81626,EB-81712,SE,396.50,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-10598,EB-51449,US,524.62,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioGnostics,BG-42028,EB-39130,DE,216.17,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
LabVeritas,LV-47861,EB-66714,DE,201.64,EUR,In Stock,3,1,2026-02-02T05:00:00,N
BioGnostics,BG-85203,EB-19249,DE,192.71,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-91985,EB-21357,DE,116.25,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-62035,EB-74904,US,583.32,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioAxis,BA-74476,EB-29077,US,426.47,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-24927,EB-75310,DE,416.93,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioAxis,BA-88600,EB-22108,US,428.92,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-89793,EB-21408,US,514.81,USD,Backorder,21,1,2026-02-02T05:00:00,N
EuroLab,EL-78045,EB-58934,DE,382.23,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-48935,EB-77855,DE,428.88,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-28856,EB-26228,DE,464.78,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
NordAssay,NA-44521,EB-45904,DE,428.65,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordBio Sweden,NB-16709,EB-28668,SE,432.81,SEK,Available,4,1,2026-02-02T04:00:00,N
BioGnostics,BG-57905,EB-76144,DE,217.83,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
LabVeritas,LV-49529,EB-58268,DE,232.65,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-72562,EB-77699,SE,344.37,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-97009,EB-74263,DE,109.21,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-67675,EB-35061,US,612.50,USD,In Stock,12,1,2026-02-02T05:00:00,N
ImmunoPeak,IP-52797,EB-65391,DE,357.49,EUR,In Stock,4,1,2026-02-03T05:00:00,N
EuroLab,EL-36086,EB-51343,DE,410.20,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-73221,EB-75260,DE,464.31,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioGnostics,BG-42021,EB-16505,DE,233.18,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-54932,EB-80951,US,575.74,USD,In Stock,12,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-34054,EB-35847,SE,471.41,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-61690,EB-43745,DE,103.76,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-27668,EB-50208,US,424.86,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-11559,EB-18606,DE,132.42,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
BioAxis,BA-44916,EB-13036,US,439.49,USD,In Stock,6,1,2026-02-01T05:00:00,N
BioAxis,BA-42008,EB-83977,DE,358.68,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-68704,EB-45222,DE,197.33,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
BioGnostics,BG-28162,EB-93901,DE,175.60,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordAssay,NA-26487,EB-38548,DE,496.00,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
BioAxis,BA-75977,EB-42156,DE,452.21,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioAxis,BA-12082,EB-97498,DE,386.05,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioAxis,BA-54267,EB-61312,US,533.46,USD,In Stock,6,1,2026-02-01T05:00:00,N
BioAxis,BA-53855,EB-73361,DE,397.79,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-18912,EB-41579,DE,195.30,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordAssay,NA-58776,EB-53244,DE,457.15,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
BioAxis,BA-64993,EB-48304,DE,340.55,EUR,In Stock,5,1,2026-02-01T05:00:00,N
CytoNova,CN-56785,EB-64593,DE,139.96,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
EuroLab,EL-59355,EB-80834,DE,354.71,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
LabVeritas,LV-85250,EB-37379,DE,181.20,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-14554,EB-15210,DE,112.93,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
ImmunoPeak,IP-52363,EB-28133,DE,324.84,EUR,In Stock,4,1,2026-02-03T05:00:00,N
EuroLab,EL-58838,EB-22735,DE,400.14,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
ImmunoPeak,IP-83372,EB-18951,DE,345.35,EUR,In Stock,4,1,2026-02-03T05:00:00,N
EuroLab,EL-22794,EB-74166,DE,345.96,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
NordAssay,NA-24488,EB-28718,DE,623.29,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordAssay,NA-86005,EB-27433,DE,455.17,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
CytoNova,CN-96531,EB-79465,DE,102.67,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
EuroLab,EL-85197,EB-98566,DE,446.60,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
NordBio Sweden,NB-66441,EB-34057,SE,380.08,SEK,Available,4,1,2026-02-02T04:00:00,N
LabVeritas,LV-20129,EB-91455,DE,213.89,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordAssay,NA-10625,EB-17702,DE,439.61,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
ImmunoPeak,IP-61576,EB-63629,DE,380.17,EUR,In Stock,4,1,2026-02-03T05:00:00,N
ImmunoPeak,IP-86499,EB-91682,DE,360.12,EUR,In Stock,4,1,2026-02-03T05:00:00,N
ImmunoPeak,IP-12507,EB-73253,DE,330.71,EUR,In Stock,4,1,2026-02-03T05:00:00,N
CytoNova,CN-27771,EB-44245,US,593.58,USD,In Stock,12,1,2026-02-02T05:00:00,N
EuroLab,EL-59773,EB-82261,DE,381.50,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
ImmunoPeak,IP-32591,EB-96965,DE,378.86,EUR,In Stock,4,1,2026-02-03T05:00:00,N
EuroLab,EL-88944,EB-48522,DE,375.29,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-23694,EB-19226,DE,330.85,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
CytoNova,CN-34269,EB-22458,DE,111.17,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
BioAxis,BA-23219,EB-36246,DE,351.03,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioAxis,BA-69319,EB-92931,DE,325.63,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioAxis,BA-94872,EB-78833,DE,394.01,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-62852,EB-24967,DE,164.72,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-53713,EB-77345,US,554.56,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioAxis,BA-10331,EB-68217,US,521.06,USD,In Stock,6,1,2026-02-01T05:00:00,N
BioGnostics,BG-52180,EB-66031,DE,185.45,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-35471,EB-60757,US,485.32,USD,Backorder,21,1,2026-02-02T05:00:00,N
EuroLab,EL-31107,EB-71040,DE,445.97,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
EuroLab,EL-52765,EB-10528,DE,470.12,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
CytoNova,CN-23814,EB-75407,US,501.16,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioGnostics,BG-33420,EB-51542,DE,199.42,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
EuroLab,EL-49136,EB-98650,DE,441.21,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
EuroLab,EL-16517,EB-33166,DE,372.16,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
CytoNova,CN-89719,EB-22828,US,641.80,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioAxis,BA-78149,EB-40781,DE,329.10,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-79389,EB-89222,DE,231.38,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
ImmunoPeak,IP-59106,EB-42202,DE,325.13,EUR,In Stock,4,1,2026-02-03T05:00:00,N
BioAxis,BA-71325,EB-92156,US,414.69,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-79524,EB-33568,US,620.00,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioGnostics,BG-71279,EB-79523,DE,193.87,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordAssay,NA-76750,EB-64091,DE,469.36,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
BioAxis,BA-97167,EB-35798,DE,463.85,EUR,In Stock,5,1,2026-02-01T05:00:00,N
CytoNova,CN-83769,EB-89088,US,481.74,USD,In Stock,12,1,2026-02-02T05:00:00,N
LabVeritas,LV-89266,EB-89492,DE,188.42,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-91513,EB-93735,DE,124.00,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-68075,EB-27659,US,629.39,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioGnostics,BG-35335,EB-63881,DE,183.96,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
BioAxis,BA-36162,EB-81850,DE,389.11,EUR,In Stock,5,1,2026-02-01T05:00:00,N
EuroLab,EL-87561,EB-20171,DE,331.57,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-20360,EB-78780,DE,394.79,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-69039,EB-27482,DE,378.06,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-27265,EB-80880,DE,460.66,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
CytoNova,CN-70575,EB-67828,US,572.79,USD,In Stock,12,1,2026-02-02T05:00:00,N
EuroLab,EL-16071,EB-47585,DE,452.52,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
NordAssay,NA-88339,EB-40968,DE,513.04,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
BioAxis,BA-46886,EB-18435,US,522.85,USD,In Stock,6,1,2026-02-01T05:00:00,N
LabVeritas,LV-83393,EB-41592,DE,205.18,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordAssay,NA-82520,EB-41713,DE,421.17,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
CytoNova,CN-79225,EB-16654,US,417.42,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioGnostics,BG-85653,EB-62720,DE,197.49,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-57087,EB-46126,DE,123.31,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
NordAssay,NA-38095,EB-63059,DE,501.36,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordBio Sweden,NB-91738,EB-44080,SE,466.03,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-40771,EB-66419,US,446.38,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioAxis,BA-63533,EB-57379,DE,370.98,EUR,In Stock,5,1,2026-02-01T05:00:00,N
LabVeritas,LV-20581,EB-32387,DE,180.64,EUR,In Stock,3,1,2026-02-02T05:00:00,N
LabVeritas,LV-74617,EB-46195,DE,241.48,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-52902,EB-12646,SE,487.83,SEK,Available,4,1,2026-02-02T04:00:00,N
ImmunoPeak,IP-96665,EB-66280,DE,300.00,EUR,In Stock,4,1,2026-02-03T05:00:00,N
ImmunoPeak,IP-84317,EB-78941,DE,256.28,EUR,In Stock,4,1,2026-02-03T05:00:00,N
EuroLab,EL-54371,EB-92599,DE,447.69,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-93886,EB-36977,DE,471.97,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
NordAssay,NA-16878,EB-13005,DE,467.74,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
EuroLab,EL-70119,EB-47862,DE,405.13,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioAxis,BA-52962,EB-86221,DE,417.70,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioGnostics,BG-20451,EB-44112,DE,205.50,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
BioAxis,BA-80107,EB-74884,US,484.04,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-51949,EB-51016,US,445.35,USD,In Stock,12,1,2026-02-02T05:00:00,N
EuroLab,EL-98412,EB-20431,DE,388.38,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
EuroLab,EL-34843,EB-30383,DE,338.28,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
BioGnostics,BG-18280,EB-85918,DE,216.55,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-49613,EB-56305,US,442.01,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioAxis,BA-51327,EB-25596,US,526.08,USD,In Stock,6,1,2026-02-01T05:00:00,N
NordBio Sweden,NB-67240,EB-25915,SE,405.48,SEK,Available,4,1,2026-02-02T04:00:00,N
LabVeritas,LV-64435,EB-93213,DE,245.22,EUR,In Stock,3,1,2026-02-02T05:00:00,N
ImmunoPeak,IP-38287,EB-35019,DE,259.30,EUR,In Stock,4,1,2026-02-03T05:00:00,N
LabVeritas,LV-71287,EB-78090,DE,164.44,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordAssay,NA-59272,EB-87853,DE,585.77,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
LabVeritas,LV-30834,EB-20850,DE,229.22,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-27870,EB-82992,US,472.64,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-37441,EB-87626,US,426.06,USD,In Stock,12,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-86299,EB-41272,SE,443.43,SEK,Available,4,1,2026-02-02T04:00:00,N
NordBio Sweden,NB-71454,EB-58516,SE,414.56,SEK,Available,4,1,2026-02-02T04:00:00,N
BioGnostics,BG-14658,EB-31270,DE,204.50,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
BioAxis,BA-77178,EB-16723,US,461.30,USD,In Stock,6,1,2026-02-01T05:00:00,N
NordBio Sweden,NB-61143,EB-37991,SE,369.83,SEK,Available,4,1,2026-02-02T04:00:00,N
NordBio Sweden,NB-51731,EB-75724,SE,438.48,SEK,Available,4,1,2026-02-02T04:00:00,N
NordBio Sweden,NB-30782,EB-23391,SE,352.76,SEK,Available,4,1,2026-02-02T04:00:00,N
NordAssay,NA-55094,EB-51400,DE,538.92,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
CytoNova,CN-43210,EB-22928,US,449.46,USD,Backorder,21,1,2026-02-02T05:00:00,N
NordAssay,NA-51245,EB-79721,DE,423.54,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
EuroLab,EL-68232,EB-18673,DE,393.65,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioGnostics,BG-74501,EB-40119,DE,210.60,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
